"","country","R0","strategy","time","infections_lower","infections_median","infections_upper","deaths_lower","deaths_median","deaths_upper","hosp_inc_lower","hosp_inc_median","hosp_inc_upper","ICU_inc_lower","ICU_inc_median","ICU_inc_upper","hosp_occ_lower","hosp_occ_median","hosp_occ_upper","ICU_occ_lower","ICU_occ_median","ICU_occ_upper"
"92",2,2.7,"unmitigated",92,239437.35,361566,593686.975,1213.1,1789.5,2527.3,239437.35,361566,593686.975,1639.85,2338,3291.5,99667.55,139893,141876.25,7902.6,18949.5,24599.225
"93",2,2.7,"unmitigated",93,212244.5,325569,593973.024999999,1089.075,1637,2516.725,212244.5,325569,593973.024999999,1464.475,2165.5,3263.575,107756.45,139383,141948.725,9051.325,20530,25588.5
"94",2,2.7,"unmitigated",94,187286.15,292588,567070.924999999,1010.675,1480,2357.175,187286.15,292588,567070.924999999,1302.775,1966,3142.8,115223.55,138589,141949.275,10333.725,22038,26287.925
"95",2,2.7,"unmitigated",95,164693.8,260567,532988.274999999,871.8,1352.5,2349.225,164693.8,260567,532988.274999999,1161.325,1775.5,3078.725,117469.6,137434.5,141906.025,11738.875,23451,26788.075
"96",2,2.7,"unmitigated",96,144897.35,231878.5,496182.824999999,797.325,1213.5,2301.65,144897.35,231878.5,496182.824999999,1017.8,1597,2985.25,113007.925,134017.5,141691.325,13235.825,24665.5,26972.925
"97",2,2.7,"unmitigated",97,127369.975,205002.5,459639.924999999,694,1077,2162.6,127369.975,205002.5,459639.924999999,939.9,1426,2766.775,106066.375,129632,141332.925,14775.15,25619,26990.825
"98",2,2.7,"unmitigated",98,111117.775,181563.5,420909.574999999,596,984.5,1963.425,111117.775,181563.5,420909.574999999,780.725,1290,2619.5,99023.725,124962.5,139951.55,16392.1,26260.5,27090.025
"99",2,2.7,"unmitigated",99,97937.225,160302,384030.574999999,535.55,859.5,1812.55,97937.225,160302,384030.574999999,729.075,1131,2469.5,92504.625,118876.5,138641.5,17976.4,26428.5,27032.675
"100",2,2.7,"unmitigated",100,84760.15,140661,347936.174999999,464.475,770,1702.35,84760.15,140661,347936.174999999,601.725,996.5,2231.925,85678.6,112339,140345.175,19590.625,26374.5,26984.725
"101",2,2.7,"unmitigated",101,74037.925,122892.5,313371.999999999,404.125,664,1582.7,74037.925,122892.5,313371.999999999,534.475,889,2089.85,78494.9,105615,138549.775,21151.125,26221.5,27044.975
