"Income","HS","IFR","Mort"
"HIC","Infinite capacity",0.00924905786169918,4911
"HIC","Infinite capacity",0.011468831356261,6119
"HIC","Infinite capacity",0.0106112788795918,5703
"HIC","Infinite capacity",0.0143535000657228,7753
"HIC","Infinite capacity",0.00662344795604387,3485
"HIC","Infinite capacity",0.0123733608379953,6622
"HIC","Infinite capacity",0.00883030818733552,4701
"HIC","Infinite capacity",0.00388401526819795,2030
"HIC","Infinite capacity",0.0128798890553388,6947
"HIC","Infinite capacity",0.00463983010675212,2447
"HIC","Infinite capacity",0.00642961187145328,3390
"HIC","Infinite capacity",0.0153005081737265,8301
"HIC","Infinite capacity",0.0105675695899431,5649
"HIC","Infinite capacity",0.0102666866431942,5482
"HIC","Infinite capacity",0.00435900280399215,2279
"HIC","Infinite capacity",0.00989360700499011,5254
"HIC","Infinite capacity",0.00522185220819314,2730
"HIC","Infinite capacity",0.0152388001170941,8277
"HIC","Infinite capacity",0.00590016139968866,3089
"HIC","Infinite capacity",0.0113691240496094,6074
"HIC","Infinite capacity",0.0102330274886476,5476
"HIC","Infinite capacity",0.0055717888925903,2927
"HIC","Infinite capacity",0.0135264390530193,7283
"HIC","Infinite capacity",0.00975409511937468,5180
"HIC","Infinite capacity",0.010340890617146,5534
"HIC","Infinite capacity",0.0116698953314814,6247
"HIC","Infinite capacity",0.00860879391705802,4548
"HIC","Infinite capacity",0.0116825138062673,6249
"HIC","Infinite capacity",0.00734620992077395,3900
"HIC","Infinite capacity",0.0076513069020026,4061
"HIC","Infinite capacity",0.00763028128386954,4034
"HIC","Infinite capacity",0.00426126561313919,2223
"HIC","Infinite capacity",0.0101491443959194,5431
"HIC","Infinite capacity",0.00931108457100497,4974
"HIC","Infinite capacity",0.00670609046491389,3537
"HIC","Infinite capacity",0.00877573762235765,4670
"HIC","Infinite capacity",0.00809878179411925,4302
"HIC","Infinite capacity",0.00655961476482075,3460
"HIC","Infinite capacity",0.0105392663273164,5611
"HIC","Infinite capacity",0.00692188803529236,3659
"HIC","Infinite capacity",0.00962584529126496,5123
"HIC","Infinite capacity",0.00498291598944974,2609
"HIC","Infinite capacity",0.0119872205902089,6431
"HIC","Infinite capacity",0.00380297579526711,1999
"HIC","Infinite capacity",0.00862838552776739,4591
"HIC","Infinite capacity",0.00993868382138249,5276
"HIC","Infinite capacity",0.00712775286913408,3755
"HIC","Infinite capacity",0.00698176647012326,3692
"HIC","Infinite capacity",0.0112802926211986,6026
"HIC","Infinite capacity",0.00742181857068082,3956
"HIC","Infinite capacity",0.00933846284085672,4964
"HIC","Infinite capacity",0.00454587800468087,2391
"HIC","Infinite capacity",0.00611599923407821,3226
"HIC","Infinite capacity",0.0165232281860762,8964
"HIC","Infinite capacity",0.00347682245996676,1816
"HIC","Infinite capacity",0.00565836836360369,2960
"HIC","Infinite capacity",0.00902166218320827,4779
"HIC","Infinite capacity",0.0106690601012453,5682
"HIC","Infinite capacity",0.0101246309897519,5412
"HIC","Infinite capacity",0.00531067747635696,2801
"HIC","Infinite capacity",0.00559277964372344,2949
"HIC","Infinite capacity",0.013561976845586,7325
"HIC","Infinite capacity",0.00981024378963438,5218
"HIC","Infinite capacity",0.00808822692560121,4264
"HIC","Infinite capacity",0.0110388932782755,5924
"HIC","Infinite capacity",0.00615310472800545,3243
"HIC","Infinite capacity",0.00526346938424854,2757
"HIC","Infinite capacity",0.00630268126168046,3305
"HIC","Infinite capacity",0.00684062019093015,3605
"HIC","Infinite capacity",0.0130380836671823,7072
"HIC","Infinite capacity",0.0114888803716826,6145
"HIC","Infinite capacity",0.00640222156707972,3366
"HIC","Infinite capacity",0.0047137391463722,2469
"HIC","Infinite capacity",0.00578495114254211,3043
"HIC","Infinite capacity",0.00896795004810322,4754
"HIC","Infinite capacity",0.0126956981795691,6815
"HIC","Infinite capacity",0.0117640043455818,6313
"HIC","Infinite capacity",0.00507422628533087,2662
"HIC","Infinite capacity",0.00638769613928784,3365
"HIC","Infinite capacity",0.00568298527901404,2988
"HIC","Infinite capacity",0.0076740859588445,4056
"HIC","Infinite capacity",0.00589819670666593,3103
"HIC","Infinite capacity",0.0085343436995911,4550
"HIC","Infinite capacity",0.0041355781977666,2165
"HIC","Infinite capacity",0.00703031729431482,3704
"HIC","Infinite capacity",0.00983062180467227,5234
"HIC","Infinite capacity",0.00482734427429687,2532
"HIC","Infinite capacity",0.00686398976758838,3617
"HIC","Infinite capacity",0.0145376681299256,7862
"HIC","Infinite capacity",0.0080580875798789,4276
"HIC","Infinite capacity",0.00861561968733394,4556
"HIC","Infinite capacity",0.00554144977847494,2918
"HIC","Infinite capacity",0.00848125527844813,4509
"HIC","Infinite capacity",0.0109233444276951,5855
"HIC","Infinite capacity",0.00824330125398785,4359
"HIC","Infinite capacity",0.00530316422131872,2790
"HIC","Infinite capacity",0.0091792005904815,4875
"HIC","Infinite capacity",0.00944292905148899,5037
"HIC","Infinite capacity",0.0086136617382087,4575
"HIC","Infinite capacity",0.0109115401885945,5832
"HIC","Infinite capacity",0.00645093806757129,3392
"HIC","Infinite capacity",0.0092725539187422,4921
"HIC","Infinite capacity",0.00480357232066343,2500
"HIC","Infinite capacity",0.00813432412502127,4302
"HIC","Infinite capacity",0.012127188591723,6481
"HIC","Infinite capacity",0.00530591878478081,2786
"HIC","Infinite capacity",0.007232262294088,3817
"HIC","Infinite capacity",0.00665354360688694,3495
"HIC","Infinite capacity",0.0131790037768755,7073
"HIC","Infinite capacity",0.010872596005397,5810
"HIC","Infinite capacity",0.0127094165222415,6798
"HIC","Infinite capacity",0.0060676143702445,3185
"HIC","Infinite capacity",0.00903554406990697,4804
"HIC","Infinite capacity",0.00434219619815756,2287
"HIC","Infinite capacity",0.0127411071094707,6842
"HIC","Infinite capacity",0.00720354530780945,3789
"HIC","Infinite capacity",0.0134271195028538,7208
"HIC","Infinite capacity",0.00334849222069399,1748
"HIC","Infinite capacity",0.00678252693675455,3578
"HIC","Infinite capacity",0.00581187190391847,3068
"HIC","Infinite capacity",0.00916915497022524,4861
"HIC","Infinite capacity",0.0103017131360449,5489
"HIC","Infinite capacity",0.00924919409251068,4935
"HIC","Infinite capacity",0.0115091874036474,6174
"HIC","Infinite capacity",0.00720125153309006,3793
"HIC","Infinite capacity",0.011815230383939,6336
"HIC","Infinite capacity",0.00532925032146053,2781
"HIC","Infinite capacity",0.00976674601755756,5190
"HIC","Infinite capacity",0.00996897870674337,5296
"HIC","Infinite capacity",0.0117444029850746,6295
"HIC","Infinite capacity",0.0108691373852218,5799
"HIC","Infinite capacity",0.00656788009214355,3467
"HIC","Infinite capacity",0.0111343270240676,5979
"HIC","Infinite capacity",0.0135001044495509,7238
"HIC","Infinite capacity",0.0138055943151261,7470
"HIC","Infinite capacity",0.0101146363290643,5346
"HIC","Infinite capacity",0.00626818851808458,3317
"HIC","Infinite capacity",0.00852298298778841,4545
"HIC","Infinite capacity",0.00970013146007443,5143
"HIC","Infinite capacity",0.0139244853793827,7541
"HIC","Infinite capacity",0.00594764924882334,3120
"HIC","Infinite capacity",0.0140990371389271,7585
"HIC","Infinite capacity",0.0118004396387833,6356
"HIC","Infinite capacity",0.0158114844020351,8590
"HIC","Infinite capacity",0.00868763512311112,4589
"HIC","Infinite capacity",0.0161973746104545,8815
"HIC","Infinite capacity",0.0122228884045059,6544
"HIC","Infinite capacity",0.00543270174048372,2852
"HIC","Infinite capacity",0.0107326929013067,5737
"HIC","Infinite capacity",0.00962662746587162,5121
"HIC","Infinite capacity",0.00550762514010875,2904
"HIC","Infinite capacity",0.0107942633304741,5751
"HIC","Infinite capacity",0.0044246433312801,2313
"HIC","Infinite capacity",0.0113920611050727,6121
"HIC","Infinite capacity",0.0140260141547607,7626
"HIC","Infinite capacity",0.00759298712995304,4013
"HIC","Infinite capacity",0.00907573387872955,4828
"HIC","Infinite capacity",0.00791241196849439,4175
"HIC","Infinite capacity",0.0127045714756086,6791
